id,x,y,z
433,1992.175,2055.35,-0.2201
434,1992.175,2055.35,-0.2201
435,1820.183,2085.87,-1.7113
436,1820.183,2085.87,-1.7113
437,1820.183,2085.87,-1.7113
438,1875.872,1919.85,-0.6129
439,1875.872,1919.85,-0.6129
440,1875.872,1919.85,-0.6129
441,1705.408,1949.71,-1.756
442,1705.408,1949.71,-1.756
443,1705.408,1949.71,-1.756
444,1759.57,1784.34,0.1341
445,1759.57,1784.34,0.1341
446,1759.57,1784.34,0.1341
447,1588.705,1813.57,0.027
448,1588.705,1813.57,0.027
449,1588.705,1813.57,0.027
450,1643.267,1648.84,-0.1537
451,1643.267,1648.84,-0.1537
452,1643.267,1648.84,-0.1537
453,1471.433,1679.1,-0.1808
454,1471.433,1679.1,-0.1808
455,1471.433,1679.1,-0.1808
456,1526.965,1513.33,0.0026
457,1526.965,1513.33,0.0026
458,1526.965,1513.33,0.0026
459,1353.283,1544.62,0.7758
460,1353.283,1544.62,0.7758
461,1353.283,1544.62,0.7758
462,1410.662,1377.83,-0.969
463,1410.662,1377.83,-0.969
464,1410.662,1377.83,-0.969
465,1236.767,1409.74,0.6513
466,1236.767,1409.74,0.6513
467,1236.767,1409.74,0.6513
468,1294.36,1242.33,-0.4643
469,1294.36,1242.33,-0.4643
470,1294.36,1242.33,-0.4643
471,1121.771,1274.21,1.0644
472,1121.771,1274.21,1.0644
473,1121.771,1274.21,1.0644
474,1178.057,1106.82,0.8621
475,1178.057,1106.82,0.8621
476,1178.057,1106.82,0.8621
477,1005.276,1137.33,2.2713
478,1005.276,1137.33,2.2713
479,1005.276,1137.33,2.2713
480,1061.755,971.32,2.1283
481,1061.755,971.32,2.1283
482,1061.755,971.32,2.1283
483,888.94,1001.66,-2.2756
484,888.94,1001.66,-2.2756
485,888.94,1001.66,-2.2756
486,945.452,835.81,0.5056
487,945.452,835.81,0.5056
488,945.452,835.81,0.5056
489,773.976,866.27,0.8062
490,773.976,866.27,0.8062
491,773.976,866.27,0.8062
492,829.15,700.31,3.9993
493,829.15,700.31,3.9993
494,829.15,700.31,3.9993
495,659.895,730.32,-1.4892
496,659.895,730.32,-1.4892
497,659.895,730.32,-1.4892
498,712.848,564.8,-0.7329
499,712.848,564.8,-0.7329
500,712.848,564.8,-0.7329
501,546.629,595.32,-3.1679
502,546.629,595.32,-3.1679
503,546.629,595.32,-3.1679
504,596.545,429.3,1.4049
505,596.545,429.3,1.4049
506,596.545,429.3,1.4049
507,431.506,459.31,-0.4654
508,431.506,459.31,-0.4654
509,431.506,459.31,-0.4654
510,480.243,293.79,1.6956
511,480.243,293.79,1.6956
512,480.243,293.79,1.6956
513,312.634,327.26,1.6736
514,312.634,327.26,1.6736
515,312.634,327.26,1.6736
516,363.94,158.29,1.3112
517,363.94,158.29,1.3112
518,363.94,158.29,1.3112
519,181.655,207.51,-2.2438
520,181.655,207.51,-2.2438
521,181.655,207.51,-2.2438
522,5.87,166.29,-0.1831
523,5.87,166.29,-0.1831
524,5.87,166.29,-0.1831
525,-359.299,769.95,-0.2462
526,-359.299,769.95,-0.2462
527,-359.299,769.95,-0.2462
528,-333.001,720.41,1.0802
529,-333.001,720.41,1.0802
530,-333.001,720.41,1.0802
531,-332.138,808.93,-1.1981
532,-332.138,808.93,-1.1981
533,-332.138,808.93,-1.1981
534,-285.26,763.97,0.3374
535,-285.26,763.97,0.3374
536,-285.26,763.97,0.3374
537,-280.908,836.49,-0.6871
538,-280.908,836.49,-0.6871
539,-280.908,836.49,-0.6871
540,-250.543,890.95,-1.6992
541,-250.543,890.95,-1.6992
542,-250.543,890.95,-1.6992
543,-212.029,933.94,-0.8244
544,-212.029,933.94,-0.8244
545,-212.029,933.94,-0.8244
546,-182.896,971.48,-0.7052
547,-182.896,971.48,-0.7052
548,-182.896,971.48,-0.7052
549,-131.153,998.36,0.977
550,-131.153,998.36,0.977
551,-131.153,998.36,0.977
552,-107.699,1056.27,2.4687
553,-107.699,1056.27,2.4687
554,-107.699,1056.27,2.4687
555,-78.477,1102.97,1.5217
556,-78.477,1102.97,1.5217
557,-78.477,1102.97,1.5217
558,-37.197,1137.28,-0.1049
559,-37.197,1137.28,-0.1049
560,-37.197,1137.28,-0.1049
561,-1.536,1170.61,-0.6661
562,-1.536,1170.61,-0.6661
563,-1.536,1170.61,-0.6661
564,21.822,1213.9,1.3768
565,21.822,1213.9,1.3768
566,21.822,1213.9,1.3768
567,50.715,1256.72,3.2765
568,50.715,1256.72,3.2765
569,50.715,1256.72,3.2765
570,93.286,1291.04,3.5074
571,93.286,1291.04,3.5074
572,93.286,1291.04,3.5074
573,130.139,1328.78,1.6956
574,130.139,1328.78,1.6956
575,130.139,1328.78,1.6956
576,161.868,1374.77,1.6788
577,161.868,1374.77,1.6788
578,161.868,1374.77,1.6788
579,196.195,1417.98,2.0699
580,196.195,1417.98,2.0699
581,196.195,1417.98,2.0699
582,234.584,1455.39,0.8285
583,234.584,1455.39,0.8285
584,234.584,1455.39,0.8285
585,268.121,1498.61,-0.8817
586,268.121,1498.61,-0.8817
587,268.121,1498.61,-0.8817
588,29.253,307.35,1.4052
589,29.253,307.35,1.4052
590,29.253,307.35,1.4052
591,-119.855,259.58,-0.4724
592,-119.855,259.58,-0.4724
593,-119.855,259.58,-0.4724
594,162.639,382.79,-1.8787
595,162.639,382.79,-1.8787
596,162.639,382.79,-1.8787
597,280.169,495.7,0.8828
598,280.169,495.7,0.8828
599,280.169,495.7,0.8828
600,390.553,622.9,-4.6054
601,390.553,622.9,-4.6054
602,390.553,622.9,-4.6054
603,499.019,755.05,-3.6956
604,499.019,755.05,-3.6956
605,499.019,755.05,-3.6956
606,609.181,888.54,0.2073
607,609.181,888.54,0.2073
608,609.181,888.54,0.2073
